# Program:featureCounts v2.0.8; Command:"featureCounts" "dedup/star/Int-01_S42_L005.bam" "dedup/star/Int-02_S43_L005.bam" "dedup/star/Int-03_S44_L005.bam" "dedup/star/Int-04_S45_L005.bam" "dedup/star/Liv-01_S38_L005.bam" "dedup/star/Liv-02_S39_L005.bam" "dedup/star/Liv-03_S40_L005.bam" "dedup/star/Liv-04_S41_L005.bam" "-a" "genome/annotations.gtf" "-o" "counts/star/counts.tsv" "-T" "32" "-p" "--countReadPairs" "-C" "--ignoreDup" "-M" "--fraction" "--byReadGroup" 
Geneid	Chr	Start	End	Strand	Length	dedup/star/Int-01_S42_L005.bam:Int-01_S42_L005	dedup/star/Int-02_S43_L005.bam:Int-02_S43_L005	dedup/star/Int-03_S44_L005.bam:Int-03_S44_L005	dedup/star/Int-04_S45_L005.bam:Int-04_S45_L005	dedup/star/Liv-01_S38_L005.bam:Liv-01_S38_L005	dedup/star/Liv-02_S39_L005.bam:Liv-02_S39_L005	dedup/star/Liv-03_S40_L005.bam:Liv-03_S40_L005	dedup/star/Liv-04_S41_L005.bam:Liv-04_S41_L005
Smp_099160	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	2193641;2193951;2195579;2196465	2193917;2194070;2196172;2196693	+;+;+;+	1220	1544.50	287	1255.50	1829.50	1319.50	1551.30	647	1822.50
Smp_099210	SM_V10_1	2207872	2223287	-	15416	4	3	9	7	1	3	3	4
Smp_176600	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	2223386;2227269;2231037;2241730;2244767;2248236;2251391;2260122;2262487;2265366;2267269	2223824;2227582;2231129;2241860;2244826;2248398;2251561;2260246;2262588;2265660;2268742	+;+;+;+;+;+;+;+;+;+;+	3367	228.00	57.75	157	230.92	91	102.17	30	154.00
Smp_099170	SM_V10_1;SM_V10_1;SM_V10_1	2275135;2278700;2279164	2275330;2278939;2281557	-;-;-	2830	117	21.50	63.67	99	47	78	22	84
Smp_346460	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	2294481;2311943;2321939;2326267;2328389;2335732;2341406;2345348;2348356	2308273;2312979;2322757;2326407;2328490;2336010;2341741;2345794;2349075	+;+;+;+;+;+;+;+;+	17674	129	20	115	194.50	73	65	52	158
Smp_099240	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	2352717;2355659;2357380;2360434	2353272;2355916;2358378;2361070	-;-;-;-	2450	52.50	8.50	31	61.50	21	12	17.00	56
Smp_176620	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	2362102;2363845;2365862;2368863;2371494;2373948;2377019;2379273;2381243	2362693;2364121;2365961;2369009;2371787;2375440;2377607;2379318;2381272	-;-;-;-;-;-;-;-;-	3568	172.00	13	92.17	168.00	80.50	42.67	37	189.33
Smp_176630	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	2395971;2397692;2397896;2400114;2404697;2409973;2411059;2417423;2419550	2396264;2397861;2397985;2400326;2404780;2410285;2411183;2417660;2419785	+;+;+;+;+;+;+;+;+	1763	74	6	35	71	41	22	24	54
Smp_176640	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	2428451;2431118;2431296;2431488;2434234;2435592	2431073;2431260;2431452;2431614;2434344;2436071	+;+;+;+;+;+	3641	47.20	10	41	49	18	17	12	43
Smp_176650	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	2458078;2470136;2472716;2477527;2490158;2498924	2458196;2470323;2473648;2477568;2490309;2499672	+;+;+;+;+;+	2183	87	11	91.50	131.50	49	80.00	35	101
Smp_346470	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	2503018;2505866;2507957;2510316;2511519;2511666;2511773;2511929;2512024	2503223;2505934;2508183;2510510;2511630;2511733;2511880;2511988;2512154	-;-;-;-;-;-;-;-;-	1176	107	11	44	90	53	57.00	27	67.33
Smp_099300	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	2538098;2538181;2538312;2538484;2538630;2539974	2538145;2538278;2538448;2538595;2538719;2540123	+;+;+;+;+;+	635	106	18	62	90	36	57	13	47
Smp_099310	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	2541673;2541673;2547140;2549126;2549126;2550686;2550686;2552310;2552310;2554397;2554397;2556696;2556696;2557944;2557944;2562336;2562336;2565747;2565747;2572091;2572091;2574774;2574774;2575905;2575905	2542223;2542223;2547151;2549314;2549314;2550893;2550893;2552489;2552489;2554818;2554818;2556935;2556935;2558247;2558247;2562487;2562487;2565905;2565905;2572168;2572168;2574914;2574914;2578474;2578474	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5206	189	47	169	276.50	117	134	49	182
Smp_099320	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	2584928;2585047;2585185;2585337;2585447;2589213	2585012;2585145;2585305;2585411;2585513;2589579	+;+;+;+;+;+	814	370.33	54	195	298.67	130	197	59	255
Smp_305350	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	2589775;2593603;2595771;2597234;2603073;2608394;2611044;2613812;2618944;2630001;2633489;2638233;2644179;2647186;2661296	2590347;2593872;2596454;2597712;2603626;2608518;2611093;2614435;2619093;2630217;2633578;2638316;2644229;2647467;2661626	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4564	58	10	52	99.50	42	17	22	85.25
Smp_176700	SM_V10_1;SM_V10_1;SM_V10_1	2733118;2733188;2733502	2733153;2733269;2733734	+;+;+	351	420	82.33	282	403.50	45	288.75	23	113
Smp_323110	SM_V10_1;SM_V10_1;SM_V10_1	2742388;2742475;2742787	2742435;2742613;2743153	+;+;+	554	20	6	15	41	1	13	0	0
Smp_336800	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	2766745;2770955;2785810;2795400;2801273;2811942;2814934;2820718;2825273;2827891;2833904	2766810;2771098;2785872;2795544;2801469;2812159;2815148;2820857;2825513;2828149;2834261	+;+;+;+;+;+;+;+;+;+;+	2046	26.50	3	19	23	12	9	5	28
Smp_087760	SM_V10_1;SM_V10_1;SM_V10_1	2838392;2839487;2839720	2838652;2839685;2839954	-;-;-	695	1440	268	1108	1489	755	1677.50	289	1037
Smp_306370	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	2859388;2871654;2880893;2891937;2897469;2898440;2901608;2902058;2913844;2916018;2924422;2926313;2927859;2937542;2941014;2945192;2946829;2951010	2861947;2872186;2881750;2891957;2897666;2898703;2901661;2902136;2914212;2916117;2924541;2926549;2927986;2937607;2941062;2945245;2947085;2951117	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6055	170.75	21	102	171	65	67.33	40	107.14
Smp_337450	SM_V10_1;SM_V10_1	3087513;3093429	3087702;3093760	+;+	522	0	0	0	0	0	0	0	0
Smp_176760	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	3155466;3159727;3164160;3165483;3167340;3167519	3156217;3159965;3164236;3165764;3167483;3167640	-;-;-;-;-;-	1616	129	24	61	115	62	69	35	106
Smp_241980	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	3177719;3177978;3178703;3179807;3187571;3189208;3190203;3194142;3197411;3202752;3204689;3207367;3208776;3212852;3215682;3219246;3221624;3227138;3228616;3234074;3241248;3244320;3247025;3248426;3257119;3260272;3261785;3263360;3264230;3265576;3266782;3267935;3269579;3270952;3274614;3280761;3282439;3286944;3290940;3294007;3295651;3298265;3299684;3303520;3305858;3307976	3177939;3178094;3178893;3180224;3187898;3189608;3190286;3194348;3197740;3202987;3205170;3207564;3209116;3212920;3215780;3219463;3221693;3227416;3229103;3234239;3241640;3244829;3247142;3248479;3257421;3260793;3262144;3263519;3264544;3265629;3266957;3268023;3269725;3271455;3274969;3280873;3282450;3287053;3291176;3294189;3295771;3298452;3299753;3303814;3305996;3308862	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	11359	136.52	38	52.50	122.53	58.32	30.33	26	69
Smp_176780	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	3311286;3316933;3318705;3322228;3324681;3328733;3334219;3337264;3338004;3339888;3346744;3353052;3358898	3312786;3317007;3318811;3322302;3324878;3328833;3334433;3337553;3338154;3340136;3347003;3353494;3359141	-;-;-;-;-;-;-;-;-;-;-;-;-	3909	95	12	65	109	37.12	33	33	80.50
Smp_341680	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	3371808;3374362;3374471;3375447;3376893;3377548;3378593;3380114	3374323;3374424;3374553;3375539;3376965;3377751;3378805;3380218	+;+;+;+;+;+;+;+	3350	160	28	96	154.67	71	70.50	36	117
Smp_099570	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	3380279;3384273;3384382;3384434;3384629	3381082;3384345;3384392;3384593;3384824	-;-;-;-;-	1244	124.00	23	103	142.75	71.50	66	47	164
Smp_346480	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	3402468;3405584;3407813;3408766;3410038;3412145;3414791;3417578;3419777;3423009;3424896;3427569;3429480;3432306;3434236;3436028;3443044;3446018;3448600;3451497;3453730;3455690	3404805;3405742;3407884;3408874;3410217;3412232;3415095;3417641;3420712;3423239;3425110;3428286;3429581;3432801;3434366;3436677;3443274;3446159;3448990;3451615;3453962;3456395	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8616	270.00	39	151.50	265.17	157	71	64	190
Smp_241990	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	3460003;3461691;3463859;3464082;3464278;3464454;3465824	3460185;3461855;3464044;3464244;3464417;3464609;3465963	-;-;-;-;-;-;-	1133	3	1	4	6	1	5	0	1
Smp_345330	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	3474618;3479865;3507155;3511432;3515196	3474698;3480437;3507564;3512644;3517486	+;+;+;+;+	4568	81	10	50	99.00	28	23	16	47
Smp_085010	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	3593248;3593248;3594857;3598048;3598048;3600720;3600720	3593494;3593494;3595090;3598399;3598399;3601272;3601272	+;+;+;+;+;+;+	1386	1	1	0	1	0	0	1	0
Smp_168290	SM_V10_1	3609310	3609645	+	336	0	0	0	0	0	0	0	0
Smp_345790	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	3632838;3634293;3635570;3635677;3636122;3636812;3637309;3638244;3638922	3632881;3634413;3635614;3635746;3636189;3636925;3637357;3638321;3639272	+;+;+;+;+;+;+;+;+	940	0	0	0	0	0	0	0	0
Smp_103610	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	3735826;3737120;3737753;3738373	3736242;3737468;3737986;3738545	-;-;-;-	1173	0	0	0	0	0	0	0	0
Smp_179960	SM_V10_1	3755434	3755719	+	286	0	0	0	0	0	0	0	0
Smp_333870	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	3756269;3756807;3757824;3758509	3756426;3756855;3757901;3758636	+;+;+;+	413	0	0	0	0	0	0	0	0
Smp_333930	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	3777641;3778345;3779370;3779799	3777757;3778422;3779418;3779938	-;-;-;-	384	0	0	0	0	0	0	0.33	0
Smp_333220	SM_V10_1;SM_V10_1;SM_V10_1	3794812;3795837;3796265	3794889;3795884;3796404	-;-;-	266	0	0	0	0	0	0	0	0
Smp_334070	SM_V10_1	3807234	3807464	-	231	0	0	0	0	0	0	0	0
Smp_334240	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	3831754;3832458;3833468;3833897	3831870;3832535;3833516;3834036	-;-;-;-	384	0	0	0	0	0	0	0.33	0
Smp_067060	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	3896819;3898162;3898816;3899420	3897284;3898510;3899049;3899577	-;-;-;-	1207	0	0	0	0	0	0	0	0
Smp_344940	SM_V10_1;SM_V10_1	3951341;3954204	3952255;3954669	+;+	1381	0	0	0	0	0	0	0	0
Smp_067090	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	3957512;3957512;3959551;3959551;3959780;3964935	3957821;3957821;3959732;3959732;3964977;3964977	-;-;-;-;-;-	5690	122	28	67	115	73	113	34	115.50
Smp_158430	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	3973642;3977138;3981469;3986710;3988374;3991963;3995425;3996295;3997644;3998223	3974422;3977209;3981517;3986826;3988441;3992035;3995471;3996418;3997708;3998267	-;-;-;-;-;-;-;-;-;-	1441	58	27.50	69.50	100	36.50	66.50	17	63.50
Smp_158440	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	4013009;4013009;4013009;4014396;4014396;4015249;4015249;4015249;4021310;4021310;4027275	4014303;4014303;4014303;4014416;4014416;4015299;4015299;4015299;4021367;4021367;4027327	-;-;-;-;-;-;-;-;-;-;-	1478	207	21.50	123.50	219	82	64.00	40	169.50
Smp_200460	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	4030097;4034240;4036915;4040901;4048851	4030410;4034395;4036989;4041073;4049167	-;-;-;-;-	1035	172.50	15	56	144	21	70.50	11	103
Smp_173020	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	4065098;4067737;4068966;4074013;4076387;4079929;4081725;4092375;4096641;4098613	4066449;4067883;4069357;4074520;4076542;4080156;4082094;4092616;4097051;4098671	-;-;-;-;-;-;-;-;-;-	3865	49	8	41.17	54	21	25.50	15	37
Smp_092950	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	4105302;4108847;4110659;4113037;4114920;4119939;4126435;4135758;4142834;4143919;4146647;4149076;4150548;4151538;4152876;4158897;4159092;4159727;4159808;4159880;4160013	4106336;4108950;4110797;4113867;4115735;4120065;4126787;4136323;4142890;4144218;4147096;4149310;4150653;4151645;4153416;4159052;4159200;4159766;4159840;4159972;4160070	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6257	164	27	93.50	152.50	97	32	40	101
Smp_326440	SM_V10_1;SM_V10_1;SM_V10_1;SM_V10_1	4158457;4159032;4159597;4161121	4158615;4159265;4159953;4161586	+;+;+;+	1216	17.06	5.33	11.20	17.21	8.57	13.53	1.25	14.38
Smp_092930	SM_V10_1;SM_V10_1	4167888;4176580	4173842;4177847	+;+	7223	387.30	54.50	225.33	302.08	129.07	151.08	55.50	213.00
