Filename,Date,Sensor um/pixel,Camera Zoom,Objective Magnification,Image um/pixel,Annotations Zoom,Annotations um/pixel,Tissue,Length 1 (Blue) um,Area 1 (Blue) um2
072425 Liver/r1497_0018 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,131.17,4828.89
072425 Liver/r1497_0019 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,154.21,5723.89
072425 Liver/r1497_0020 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.574,0.2572,Liver,150.85,6136.96
072425 Liver/r1497_0021 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,161.09,6024.88
072425 Liver/r1497_0023 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,143.57,5552.4
072425 Liver/r1497_0024 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,152.61,6513.96
072425 Liver/r1497_0025 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,137.33,5884.05
072425 Liver/r1497_0026 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,164.47,6560.84
072425 Liver/r1497_0027 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.558,0.2646,Liver,170.71,6160.5
072425 Liver/r1497_0028 Annotated 1.jpg,20250724,5.3158,1.8,20,0.1477,0.4831,0.3056,Liver,161.57,6972.06
